"ID","Burglary","Price"
21,0,200
24,7,130
31,0,200
32,0,200
78,6,180
80,19,140
81,32,65
98,0,220
100,0,180
101,0,200
102,15,210
111,6,170
112,12,180
113,8,160
114,7,180
115,6,130
116,0,240
117,0,180
118,6,170
119,0,230
120,7,150
121,0,200
122,0,200
123,0,210
124,0,220
125,0,180
126,0,200
127,0,210
128,17,150
614,0,200
620,0,230
621,21,120
622,7,180
624,12,180
625,7,190
626,36,72
627,18,80
628,0,190
629,0,220
764,7,150
765,6,200
766,0,170
767,0,170
768,0,230
769,0,200
833,0,160
834,13,140
835,22,100
836,0,140
837,0,170
838,0,180
839,7,260
840,12,170
841,7,230
842,5,190
843,11,220
844,0,140
845,0,220
846,13,120
847,13,96
848,0,210
849,6,170
850,15,180
851,6,140
852,17,150
853,37,67
854,0,200
855,6,230
856,6,140
857,5,230
858,24,83
859,0,170
860,0,200
861,0,210
862,0,240
863,0,180
864,0,200
865,0,210
866,5,250
867,15,140
868,0,130
869,5,190
870,6,110
871,0,160
872,0,150
873,0,230
874,13,160
875,0,210
876,6,200
877,0,230
878,0,210
879,0,190
880,23,120
881,6,180
882,13,87
883,15,160
884,6,190
885,0,190
886,0,230
887,7,180
888,7,110
889,0,200
890,0,250
891,0,180
892,0,200
893,19,130
894,13,180
895,0,190
896,0,190
897,0,230
898,6,210
899,9,210
900,0,150
901,0,190
902,0,210
903,0,200
904,0,210
905,5,170
